-2,-1,0,1,2,3,4,5,6
-0.0888144,1,-0.0888144,1,-0.0888145,1,-0.088815,1,-0.0888154
2.44929e-16,-1.22465e-16,0,1.22465e-16,-2.44929e-16,3.67394e-16,-4.89859e-16,6.12323e-16,-7.34788e-16
